PROT1	PROT2	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME
A0A024RAD5	P04843	1	0	Structure	6s7o	1	G	0	100.0	90.1	42	452	-	E	0	98.9	93.2	29	594	-	A0A024RAD5-P04843-EXP-6s7o.pdb1-G-0-E-0.pdb
A0A024RAD5	P04844	1	0	Structure	6s7t	1	G	0	100.0	89.9	43	452	-	F	0	95.4	41.5	369	630	-	A0A024RAD5-P04844-EXP-6s7t.pdb1-G-0-F-0.pdb
A0A024RAD5	P46977	1	0	Structure	6s7o	1	G	0	100.0	90.1	42	452	-	A	0	93.8	99.1	7	705	-	A0A024RAD5-P46977-EXP-6s7o.pdb1-G-0-A-0.pdb
A0A024RAD5	P61803	1	0	Structure	6s7o	1	G	0	100.0	90.1	42	452	-	D	0	100.0	97.3	4	113	-	A0A024RAD5-P61803-EXP-6s7o.pdb1-G-0-D-0.pdb
A0A024RAD5	Q8TCJ2	1	0	Structure	6s7t	1	G	0	100.0	89.9	43	452	-	A	0	93.8	91.2	63	815	-	A0A024RAD5-Q8TCJ2-EXP-6s7t.pdb1-G-0-A-0.pdb
A0A024RAV5	P02647	1	0	Structure	2mse	1	B	0	100.0	98.4	1	185	-	A	0	100.0	74.2	68	265	-	A0A024RAV5-P02647-EXP-2mse.pdb1-B-0-A-0.pdb
A0A024RAV5	P10398	1	0	Structure	2mse	1	B	0	100.0	98.4	1	185	-	D	0	100.0	12.0	19	91	-	A0A024RAV5-P10398-EXP-2mse.pdb1-B-0-D-0.pdb
A0A075B5G3	Q8NBP7	1	0	Structure	4ov6	1	F	0	100.0	100.0	1	99	-	B	0	95.6	42.5	153	446	-	A0A075B5G3-Q8NBP7-EXP-4ov6.pdb1-F-0-B-0.pdb
A0A075B6N1	A0A087WT01	1	0	Structure	5hhm	1	E	0	100.0	81.6	21	113	-	D	0	98.9	82.6	20	109	-	A0A075B6N1-A0A087WT01-EXP-5hhm.pdb1-E-0-D-0.pdb
A0A075B6N1	P01848	1	0	Structure	5hhm	2	J	0	100.0	81.6	21	113	-	I	0	96.6	63.6	1	89	-	A0A075B6N1-P01848-EXP-5hhm.pdb2-J-0-I-0.pdb
A0A075B6N1	P04439	1	0	Structure	5hhm	1	E	0	100.0	81.6	21	113	-	A	0	80.0	67.1	25	269	-	A0A075B6N1-P04439-EXP-5hhm.pdb1-E-0-A-0.pdb
A0A075B6N1	Q16655	1	0	Structure	5nqk	1	B	0	100.0	80.7	22	113	-	P	0	90.0	8.5	26	35	-	A0A075B6N1-Q16655-EXP-5nqk.pdb1-B-0-P-0.pdb
A0A075B6T6	A0A075B6T6	1	0	Structure	1ao7	2	D	2	98.9	79.6	23	112	-	D	3	98.9	79.6	23	112	-	A0A075B6T6-A0A075B6T6-EXP-1ao7.pdb2-D-2-D-3.pdb
A0A075B6T6	A0A0K0K1A5	1	0	Structure	1ao7	2	D	3	98.9	79.6	23	112	-	E	3	100.0	79.8	22	112	-	A0A075B6T6-A0A0K0K1A5-EXP-1ao7.pdb2-D-3-E-3.pdb
A0A075B6T6	A0A5B6	1	0	Structure	4zdh	1	A	0	97.8	78.8	24	112	-	B	0	96.8	81.6	22	114	-	A0A075B6T6-A0A5B6-EXP-4zdh.pdb1-A-0-B-0.pdb
A0A075B6T6	A0A5B9	1	0	Structure	1ao7	1	D	0	98.9	79.6	23	112	-	E	0	72.1	72.5	1	129	-	A0A075B6T6-A0A5B9-EXP-1ao7.pdb1-D-0-E-0.pdb
A0A075B6T6	P01848	1	0	Structure	1ao7	2	D	2	98.9	79.6	23	112	-	D	3	30.6	24.3	11	44	-	A0A075B6T6-P01848-EXP-1ao7.pdb2-D-2-D-3.pdb
A0A075B6T6	P01850	1	0	Structure	4zdh	1	A	0	97.8	78.8	24	112	-	B	0	94.6	73.3	1	129	-	A0A075B6T6-P01850-EXP-4zdh.pdb1-A-0-B-0.pdb
A0A075B6T6	P04439	1	0	Structure	1ao7	1	D	0	98.9	79.6	23	112	-	A	0	93.1	75.1	25	298	-	A0A075B6T6-P04439-EXP-1ao7.pdb1-D-0-A-0.pdb
A0A087WT01	A0A5B9	1	0	Structure	5hhm	1	D	0	98.9	82.6	20	109	-	E	0	98.4	71.9	1	128	-	A0A087WT01-A0A5B9-EXP-5hhm.pdb1-D-0-E-0.pdb
A0A087WT01	P04439	1	0	Structure	5hhm	1	D	0	98.9	82.6	20	109	-	A	0	80.0	67.1	25	269	-	A0A087WT01-P04439-EXP-5hhm.pdb1-D-0-A-0.pdb
A0A0A8WFP6	A0A173ADG5	1	0	Structure	3pl6	1	B	0	95.8	70.3	35	223	-	A	0	100.0	71.4	25	206	-	A0A0A8WFP6-A0A173ADG5-EXP-3pl6.pdb1-B-0-A-0.pdb
A0A0B4J271	A0A0B4J2E0	1	0	Structure	5c0c	2	D	0	100.0	78.9	24	113	-	E	0	99.0	83.5	20	115	-	A0A0B4J271-A0A0B4J2E0-EXP-5c0c.pdb2-D-0-E-0.pdb
A0A0B4J271	A0A0K0K1A5	1	0	Structure	4wwk	1	A	0	100.0	77.2	27	114	-	B	0	100.0	80.7	22	113	-	A0A0B4J271-A0A0K0K1A5-EXP-4wwk.pdb1-A-0-B-0.pdb
A0A0B4J271	A0A5B9	1	0	Structure	5c0c	2	D	0	100.0	78.9	24	113	-	E	0	96.9	72.5	1	129	-	A0A0B4J271-A0A5B9-EXP-5c0c.pdb2-D-0-E-0.pdb
A0A0B4J271	P01308	1	0	Structure	5hyj	1	D	0	100.0	78.9	24	113	-	C	0	90.0	9.1	15	24	-	A0A0B4J271-P01308-EXP-5hyj.pdb1-D-0-C-0.pdb
A0A0B4J271	P04234	1	0	Structure	6jxr	1	m	0	100.0	78.1	26	114	-	d	0	100.0	63.2	22	129	-	A0A0B4J271-P04234-EXP-6jxr.pdb1-m-0-d-0.pdb
A0A0B4J271	P04439	1	0	Structure	5c0c	2	D	0	100.0	78.9	24	113	-	F	0	93.1	75.3	25	299	-	A0A0B4J271-P04439-EXP-5c0c.pdb2-D-0-F-0.pdb
A0A0B4J271	P07766	1	0	Structure	6jxr	1	m	0	100.0	78.1	26	114	-	e	0	100.0	59.4	33	155	-	A0A0B4J271-P07766-EXP-6jxr.pdb1-m-0-e-0.pdb
A0A0B4J271	P09693	1	0	Structure	6jxr	1	m	0	100.0	78.1	26	114	-	g	0	100.0	63.2	24	138	-	A0A0B4J271-P09693-EXP-6jxr.pdb1-m-0-g-0.pdb
A0A0B4J271	P0DSE2	1	0	Structure	6jxr	1	m	0	100.0	78.1	26	114	-	n	0	81.9	91.9	22	306	-	A0A0B4J271-P0DSE2-EXP-6jxr.pdb1-m-0-n-0.pdb
A0A0B4J271	P15813	1	0	Structure	4wwk	1	A	0	100.0	77.2	27	114	-	C	0	100.0	80.6	26	295	-	A0A0B4J271-P15813-EXP-4wwk.pdb1-A-0-C-0.pdb
